TIME_PERIOD;TYPE;UNIT;VALUE;;CONF_STATUS
2019-07;Coal and manufactured gases;Percentage;75.253;;
2019-08;Coal and manufactured gases;Percentage;77.006;;
2019-09;Coal and manufactured gases;Percentage;74.843;;
2019-10;Coal and manufactured gases;Percentage;73.908;;
2019-11;Coal and manufactured gases;Percentage;71.397;;
2019-12;Coal and manufactured gases;Percentage;66.765;;
2020-01;Coal and manufactured gases;Percentage;68.742;;
2020-02;Coal and manufactured gases;Percentage;64.754;;
2020-03;Coal and manufactured gases;Percentage;67.038;;
2020-04;Coal and manufactured gases;Percentage;66.406;;
2020-05;Coal and manufactured gases;Percentage;67.663;;
2020-06;Coal and manufactured gases;Percentage;72.252;;
2020-07;Coal and manufactured gases;Percentage;70.842;;
2020-08;Coal and manufactured gases;Percentage;73.863;;
2020-09;Coal and manufactured gases;Percentage;72.330;;
2020-10;Coal and manufactured gases;Percentage;69.933;;
2020-11;Coal and manufactured gases;Percentage;69.375;;
2020-12;Coal and manufactured gases;Percentage;67.492;;
2021-01;Coal and manufactured gases;Percentage;73.420;;
2021-02;Coal and manufactured gases;Percentage;72.800;;
2021-03;Coal and manufactured gases;Percentage;71.246;;
2021-04;Coal and manufactured gases;Percentage;69.319;;
2021-05;Coal and manufactured gases;Percentage;67.097;;
2021-06;Coal and manufactured gases;Percentage;72.813;;
2021-07;Coal and manufactured gases;Percentage;75.171;;
2021-08;Coal and manufactured gases;Percentage;72.733;;
2021-09;Coal and manufactured gases;Percentage;74.456;;
2021-10;Coal and manufactured gases;Percentage;67.098;;
2021-11;Coal and manufactured gases;Percentage;71.520;;
2021-12;Coal and manufactured gases;Percentage;73.537;;
2022-01;Coal and manufactured gases;Percentage;66.718;;
2022-02;Coal and manufactured gases;Percentage;63.144;;
2022-03;Coal and manufactured gases;Percentage;73.598;;
2022-04;Coal and manufactured gases;Percentage;69.064;;
2022-05;Coal and manufactured gases;Percentage;67.057;;
2022-06;Coal and manufactured gases;Percentage;69.051;;
2022-07;Coal and manufactured gases;Percentage;69.076;;
2022-08;Coal and manufactured gases;Percentage;75.247;;
2022-09;Coal and manufactured gases;Percentage;74.755;;
2022-10;Coal and manufactured gases;Percentage;69.561;;
2022-11;Coal and manufactured gases;Percentage;74.771;;
2022-12;Coal and manufactured gases;Percentage;71.306;;
2023-01;Coal and manufactured gases;Percentage;63.734;;
2023-02;Coal and manufactured gases;Percentage;62.090;;
2023-03;Coal and manufactured gases;Percentage;57.636;;
2023-04;Coal and manufactured gases;Percentage;58.101;;
2023-05;Coal and manufactured gases;Percentage;57.203;;
2023-06;Coal and manufactured gases;Percentage;57.653;;
2023-07;Coal and manufactured gases;Percentage;56.269;;
2023-08;Coal and manufactured gases;Percentage;58.825;;
2023-09;Coal and manufactured gases;Percentage;63.143;;
2023-10;Coal and manufactured gases;Percentage;58.390;;
2023-11;Coal and manufactured gases;Percentage;61.112;;
2023-12;Coal and manufactured gases;Percentage;57.403;;
2024-01;Coal and manufactured gases;Percentage;56.841;;
2024-02;Coal and manufactured gases;Percentage;54.548;;
2024-03;Coal and manufactured gases;Percentage;54.948;;
2024-04;Coal and manufactured gases;Percentage;53.731;;
2024-05;Coal and manufactured gases;Percentage;53.65;;
2024-06;Coal and manufactured gases;Percentage;58.56;;
2024-07;Coal and manufactured gases;Percentage;55.952;;
2024-08;Coal and manufactured gases;Percentage;53.86;;
2024-09;Coal and manufactured gases;Percentage;49.98;;
2024-10;Coal and manufactured gases;Percentage;55.138;;
2024-11;Coal and manufactured gases;Percentage;58.569;;
2024-12;Coal and manufactured gases;Percentage;59.458;;
2025-01;Coal and manufactured gases;Percentage;57.06;;
2025-02;Coal and manufactured gases;Percentage;62.924;;
2025-03;Coal and manufactured gases;Percentage;52.3;;
2025-04;Coal and manufactured gases;Percentage;45.586;;
2025-05;Coal and manufactured gases;Percentage;45.360;;
2025-06;Coal and manufactured gases;Percentage;40.794;;
2025-07;Coal and manufactured gases;Percentage;48.225;;
2025-08;Coal and manufactured gases;Percentage;46.109;;
2008-01;Combustible fuels;Gigawatt-hour;12717;;
2008-02;Combustible fuels;Gigawatt-hour;11480;;
2008-03;Combustible fuels;Gigawatt-hour;11324;;
2008-04;Combustible fuels;Gigawatt-hour;10744;;
2008-05;Combustible fuels;Gigawatt-hour;10191;;
2008-06;Combustible fuels;Gigawatt-hour;10317;;
2008-07;Combustible fuels;Gigawatt-hour;10486;;
2008-08;Combustible fuels;Gigawatt-hour;10390;;
2008-09;Combustible fuels;Gigawatt-hour;10795;;
2008-10;Combustible fuels;Gigawatt-hour;11555;;
2008-11;Combustible fuels;Gigawatt-hour;11206;;
2008-12;Combustible fuels;Gigawatt-hour;11831;;
2009-01;Combustible fuels;Gigawatt-hour;12400;;
2009-02;Combustible fuels;Gigawatt-hour;10905;;
2009-03;Combustible fuels;Gigawatt-hour;11491;;
2009-04;Combustible fuels;Gigawatt-hour;9734;;
2009-05;Combustible fuels;Gigawatt-hour;9498;;
2009-06;Combustible fuels;Gigawatt-hour;9331;;
2009-07;Combustible fuels;Gigawatt-hour;9833;;
2009-08;Combustible fuels;Gigawatt-hour;9831;;
2009-09;Combustible fuels;Gigawatt-hour;10191;;
2009-10;Combustible fuels;Gigawatt-hour;11482;;
2009-11;Combustible fuels;Gigawatt-hour;11160;;
2009-12;Combustible fuels;Gigawatt-hour;12176;;
2010-01;Combustible fuels;Gigawatt-hour;12562;;
2010-02;Combustible fuels;Gigawatt-hour;11244;;
2010-03;Combustible fuels;Gigawatt-hour;11478;;
2010-04;Combustible fuels;Gigawatt-hour;9873;;
2010-05;Combustible fuels;Gigawatt-hour;9981;;
2010-06;Combustible fuels;Gigawatt-hour;9827;;
2010-07;Combustible fuels;Gigawatt-hour;10226;;
2010-08;Combustible fuels;Gigawatt-hour;10033;;
2010-09;Combustible fuels;Gigawatt-hour;10422;;
2010-10;Combustible fuels;Gigawatt-hour;11534;;
2010-11;Combustible fuels;Gigawatt-hour;11338;;
2010-12;Combustible fuels;Gigawatt-hour;12715;;
2011-01;Combustible fuels;Gigawatt-hour;12445;;
2011-02;Combustible fuels;Gigawatt-hour;11741;;
2011-03;Combustible fuels;Gigawatt-hour;12301;;
2011-04;Combustible fuels;Gigawatt-hour;10569;;
2011-05;Combustible fuels;Gigawatt-hour;10836;;
2011-06;Combustible fuels;Gigawatt-hour;10239;;
2011-07;Combustible fuels;Gigawatt-hour;10224;;
2011-08;Combustible fuels;Gigawatt-hour;10579;;
2011-09;Combustible fuels;Gigawatt-hour;10776;;
2011-10;Combustible fuels;Gigawatt-hour;11664;;
2011-11;Combustible fuels;Gigawatt-hour;11875;;
2011-12;Combustible fuels;Gigawatt-hour;11869;;
2012-01;Combustible fuels;Gigawatt-hour;12171;;
2012-02;Combustible fuels;Gigawatt-hour;12341;;
2012-03;Combustible fuels;Gigawatt-hour;11134;;
2012-04;Combustible fuels;Gigawatt-hour;10286;;
2012-05;Combustible fuels;Gigawatt-hour;9975;;
2012-06;Combustible fuels;Gigawatt-hour;9993;;
2012-07;Combustible fuels;Gigawatt-hour;10053;;
2012-08;Combustible fuels;Gigawatt-hour;10269;;
2012-09;Combustible fuels;Gigawatt-hour;10138;;
2012-10;Combustible fuels;Gigawatt-hour;11087;;
2012-11;Combustible fuels;Gigawatt-hour;11069;;
2012-12;Combustible fuels;Gigawatt-hour;11555;;
2013-01;Combustible fuels;Gigawatt-hour;12325;;
2013-02;Combustible fuels;Gigawatt-hour;11237;;
2013-03;Combustible fuels;Gigawatt-hour;11895;;
2013-04;Combustible fuels;Gigawatt-hour;10743;;
2013-05;Combustible fuels;Gigawatt-hour;10266;;
2013-06;Combustible fuels;Gigawatt-hour;10060;;
2013-07;Combustible fuels;Gigawatt-hour;10601;;
2013-08;Combustible fuels;Gigawatt-hour;10528;;
2013-09;Combustible fuels;Gigawatt-hour;10800;;
2013-10;Combustible fuels;Gigawatt-hour;11514;;
2013-11;Combustible fuels;Gigawatt-hour;11426;;
2013-12;Combustible fuels;Gigawatt-hour;11205;;
2014-01;Combustible fuels;Gigawatt-hour;11596;;
2014-02;Combustible fuels;Gigawatt-hour;10083;;
2014-03;Combustible fuels;Gigawatt-hour;10506;;
2014-04;Combustible fuels;Gigawatt-hour;9905;;
2014-05;Combustible fuels;Gigawatt-hour;9672;;
2014-06;Combustible fuels;Gigawatt-hour;9488;;
2014-07;Combustible fuels;Gigawatt-hour;10489;;
2014-08;Combustible fuels;Gigawatt-hour;9868;;
2014-09;Combustible fuels;Gigawatt-hour;10229;;
2014-10;Combustible fuels;Gigawatt-hour;11016;;
2014-11;Combustible fuels;Gigawatt-hour;10884;;
2014-12;Combustible fuels;Gigawatt-hour;11233;;
2015-01;Combustible fuels;Gigawatt-hour;11263;;
2015-02;Combustible fuels;Gigawatt-hour;10639;;
2015-03;Combustible fuels;Gigawatt-hour;10959;;
2015-04;Combustible fuels;Gigawatt-hour;9720;;
2015-05;Combustible fuels;Gigawatt-hour;9927;;
2015-06;Combustible fuels;Gigawatt-hour;10004;;
2015-07;Combustible fuels;Gigawatt-hour;10700;;
2015-08;Combustible fuels;Gigawatt-hour;10663;;
2015-09;Combustible fuels;Gigawatt-hour;10715;;
2015-10;Combustible fuels;Gigawatt-hour;11407;;
2015-11;Combustible fuels;Gigawatt-hour;10807;;
2015-12;Combustible fuels;Gigawatt-hour;10711;;
2016-01;Combustible fuels;Gigawatt-hour;11766;;
2016-02;Combustible fuels;Gigawatt-hour;10042;;
2016-03;Combustible fuels;Gigawatt-hour;10893;;
2016-04;Combustible fuels;Gigawatt-hour;10079;;
2016-05;Combustible fuels;Gigawatt-hour;9877;;
2016-06;Combustible fuels;Gigawatt-hour;10160;;
2016-07;Combustible fuels;Gigawatt-hour;10425;;
2016-08;Combustible fuels;Gigawatt-hour;10440;;
2016-09;Combustible fuels;Gigawatt-hour;10610;;
2016-10;Combustible fuels;Gigawatt-hour;11268;;
2016-11;Combustible fuels;Gigawatt-hour;11530;;
2016-12;Combustible fuels;Gigawatt-hour;11619;;
2017-01;Combustible fuels;Gigawatt-hour;13460.229;;
2017-02;Combustible fuels;Gigawatt-hour;11674.595;;
2017-03;Combustible fuels;Gigawatt-hour;11522.776;;
2017-04;Combustible fuels;Gigawatt-hour;10535.153;;
2017-05;Combustible fuels;Gigawatt-hour;10953.212;;
2017-06;Combustible fuels;Gigawatt-hour;10549.676;;
2017-07;Combustible fuels;Gigawatt-hour;11306.818;;
2017-08;Combustible fuels;Gigawatt-hour;11317.603;;
2017-09;Combustible fuels;Gigawatt-hour;10932.366;;
2017-10;Combustible fuels;Gigawatt-hour;11141.678;;
2017-11;Combustible fuels;Gigawatt-hour;11716.115;;
2017-12;Combustible fuels;Gigawatt-hour;11369.204;;
2018-01;Combustible fuels;Gigawatt-hour;11716.655;;
2018-02;Combustible fuels;Gigawatt-hour;12046.987;;
2018-03;Combustible fuels;Gigawatt-hour;12445.527;;
2018-04;Combustible fuels;Gigawatt-hour;10069.887;;
2018-05;Combustible fuels;Gigawatt-hour;10670.975;;
