TIME_PERIOD;TYPE;UNIT;OPERATION;OBS_VALUE
2022-11;Brown coal;Thousand tonnes;Exports;0.026
2022-12;Brown coal;Thousand tonnes;Exports;0.012
2023-01;Brown coal;Thousand tonnes;Exports;0.000
2023-02;Brown coal;Thousand tonnes;Exports;0.000
2023-03;Brown coal;Thousand tonnes;Exports;0.000
2023-04;Brown coal;Thousand tonnes;Exports;0.026
2023-05;Brown coal;Thousand tonnes;Exports;0.025
2023-06;Brown coal;Thousand tonnes;Exports;0.000
2023-07;Brown coal;Thousand tonnes;Exports;0.000
2023-08;Brown coal;Thousand tonnes;Exports;0.000
2023-09;Brown coal;Thousand tonnes;Exports;0.000
2023-10;Brown coal;Thousand tonnes;Exports;0.000
2023-11;Brown coal;Thousand tonnes;Exports;0.023
2023-12;Brown coal;Thousand tonnes;Exports;0.000
2024-01;Brown coal;Thousand tonnes;Exports;0.025
2024-02;Brown coal;Thousand tonnes;Exports;0.000
2024-03;Brown coal;Thousand tonnes;Exports;0.000
2024-04;Brown coal;Thousand tonnes;Exports;0.017
2024-05;Brown coal;Thousand tonnes;Exports;0.000
2024-06;Brown coal;Thousand tonnes;Exports;0.000
2024-07;Brown coal;Thousand tonnes;Exports;0.227
2024-08;Brown coal;Thousand tonnes;Exports;0.758
2024-09;Brown coal;Thousand tonnes;Exports;0.000
2024-10;Brown coal;Thousand tonnes;Exports;1.017
2024-11;Brown coal;Thousand tonnes;Exports;0.052
2024-12;Brown coal;Thousand tonnes;Exports;0.000
2025-01;Brown coal;Thousand tonnes;Exports;0.102
2025-02;Brown coal;Thousand tonnes;Exports;0.660
2025-03;Brown coal;Thousand tonnes;Exports;0.000
2025-04;Brown coal;Thousand tonnes;Exports;0.000
2025-05;Brown coal;Thousand tonnes;Exports;0.000
2025-06;Brown coal;Thousand tonnes;Exports;0.000
2025-07;Brown coal;Thousand tonnes;Exports;0.000
2025-08;Brown coal;Thousand tonnes;Exports;0.000
2008-01;Coke oven coke;Thousand tonnes;Exports;509.000
2008-02;Coke oven coke;Thousand tonnes;Exports;220.000
2008-03;Coke oven coke;Thousand tonnes;Exports;311.000
2008-04;Coke oven coke;Thousand tonnes;Exports;582.000
2008-05;Coke oven coke;Thousand tonnes;Exports;575.000
2008-06;Coke oven coke;Thousand tonnes;Exports;634.000
2008-07;Coke oven coke;Thousand tonnes;Exports;514.000
2008-08;Coke oven coke;Thousand tonnes;Exports;379.000
2008-09;Coke oven coke;Thousand tonnes;Exports;623.000
2008-10;Coke oven coke;Thousand tonnes;Exports;420.000
2008-11;Coke oven coke;Thousand tonnes;Exports;167.000
2008-12;Coke oven coke;Thousand tonnes;Exports;279.000
2009-01;Coke oven coke;Thousand tonnes;Exports;242.000
2009-02;Coke oven coke;Thousand tonnes;Exports;295.000
2009-03;Coke oven coke;Thousand tonnes;Exports;355.000
2009-04;Coke oven coke;Thousand tonnes;Exports;202.000
2009-05;Coke oven coke;Thousand tonnes;Exports;181.000
2009-06;Coke oven coke;Thousand tonnes;Exports;398.000
2009-07;Coke oven coke;Thousand tonnes;Exports;393.000
2009-08;Coke oven coke;Thousand tonnes;Exports;347.000
2009-09;Coke oven coke;Thousand tonnes;Exports;559.000
2009-10;Coke oven coke;Thousand tonnes;Exports;594.000
2009-11;Coke oven coke;Thousand tonnes;Exports;559.000
2009-12;Coke oven coke;Thousand tonnes;Exports;533.000
2010-01;Coke oven coke;Thousand tonnes;Exports;456.000
2010-02;Coke oven coke;Thousand tonnes;Exports;574.000
2010-03;Coke oven coke;Thousand tonnes;Exports;465.000
2010-04;Coke oven coke;Thousand tonnes;Exports;452.000
2010-05;Coke oven coke;Thousand tonnes;Exports;401.000
2010-06;Coke oven coke;Thousand tonnes;Exports;490.000
2010-07;Coke oven coke;Thousand tonnes;Exports;379.000
2010-08;Coke oven coke;Thousand tonnes;Exports;368.000
2010-09;Coke oven coke;Thousand tonnes;Exports;310.000
2010-10;Coke oven coke;Thousand tonnes;Exports;498.000
2010-11;Coke oven coke;Thousand tonnes;Exports;486.000
2010-12;Coke oven coke;Thousand tonnes;Exports;331.000
2011-01;Coke oven coke;Thousand tonnes;Exports;567.000
2011-02;Coke oven coke;Thousand tonnes;Exports;536.000
2011-03;Coke oven coke;Thousand tonnes;Exports;556.000
2011-04;Coke oven coke;Thousand tonnes;Exports;523.000
2011-05;Coke oven coke;Thousand tonnes;Exports;523.000
2011-06;Coke oven coke;Thousand tonnes;Exports;424.000
2011-07;Coke oven coke;Thousand tonnes;Exports;472.000
2011-08;Coke oven coke;Thousand tonnes;Exports;519.000
2011-09;Coke oven coke;Thousand tonnes;Exports;472.000
2011-10;Coke oven coke;Thousand tonnes;Exports;487.000
2011-11;Coke oven coke;Thousand tonnes;Exports;474.000
