DATAFLOW,LAST UPDATE,freq,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2022-03,10941.705,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2022-04,9383.726,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2022-05,8803.667,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2022-06,8727.707,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2022-07,8806.377,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2022-08,9718.848,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2022-09,9360.664,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2022-10,9177.531,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2022-11,10330.002,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2022-12,10589.558,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2023-01,9037.893,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2023-02,8086.384,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2023-03,7827.323,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2023-04,6865.682,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2023-05,6715.921,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2023-06,6338.021,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2023-07,6494.187,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2023-08,7041.996,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2023-09,7562.577,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2023-10,7839.499,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2023-11,8400.946,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2023-12,8366.722,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2024-01,8230.378,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2024-02,6917.06,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2024-03,7293.874,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2024-04,6476.609,,
ESTAT:NRG_CB_PEM(1.0),21/11/25 23:00:00,Monthly,Coal and manufactured gases,Gigawatt-hour,Poland,2024-05,6307.405,,
