DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2013-07,873.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2013-08,929.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2013-09,881.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2013-10,935.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2013-11,728.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2013-12,605.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2014-01,671.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2014-02,702.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2014-03,946.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2014-04,837.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2014-05,732.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2014-06,640.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2014-07,730.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2014-08,707.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2014-09,763.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2014-10,841.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2014-11,602.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2014-12,621.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2015-01,654.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2015-02,508.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2015-03,897.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2015-04,836.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2015-05,946.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2015-06,743.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2015-07,712.000,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2015-08,945.000,,
