TIME_PERIOD,brown coal - change in stock - thousand tonnes,brown coal - closing stocks on national territory - thousand tonnes,brown coal - exports - thousand tonnes,brown coal - gross inland deliveries - calculated - thousand tonnes,brown coal - imports - thousand tonnes,brown coal - indigenous production - thousand tonnes,brown coal - opening stocks on national territory - thousand tonnes,brown coal - transformation input - electricity and heat generation - main activity producers - thousand tonnes,coke oven coke - change in stock - thousand tonnes,coke oven coke - closing stocks on national territory - thousand tonnes,coke oven coke - exports - thousand tonnes,coke oven coke - final consumption - industry sector - iron and steel - thousand tonnes,coke oven coke - gross inland deliveries - calculated - thousand tonnes,coke oven coke - imports - thousand tonnes,coke oven coke - imports from outside eu - thousand tonnes,coke oven coke - indigenous production - thousand tonnes,coke oven coke - opening stocks on national territory - thousand tonnes,hard coal - change in stock - thousand tonnes,hard coal - closing stocks on national territory - thousand tonnes,hard coal - exports - thousand tonnes,hard coal - final consumption - industry sector - iron and steel - thousand tonnes,hard coal - final consumption - industry sector - thousand tonnes,hard coal - final consumption - other sectors - thousand tonnes,hard coal - gross inland deliveries - calculated - thousand tonnes,hard coal - gross inland deliveries - observed - thousand tonnes,hard coal - imports - thousand tonnes,hard coal - imports from outside eu - thousand tonnes,hard coal - indigenous production - thousand tonnes,hard coal - opening stocks on national territory - thousand tonnes,hard coal - recovered and recycled products - thousand tonnes,hard coal - statistical differences - thousand tonnes,hard coal - transformation input - coke ovens - thousand tonnes,hard coal - transformation input - electricity and heat generation - main activity producers - thousand tonnes,oil shale and oil sands - change in stock - thousand tonnes,oil shale and oil sands - closing stocks on national territory - thousand tonnes,oil shale and oil sands - exports - thousand tonnes,oil shale and oil sands - gross inland deliveries - calculated - thousand tonnes,oil shale and oil sands - imports - thousand tonnes,oil shale and oil sands - indigenous production - thousand tonnes,oil shale and oil sands - opening stocks on national territory - thousand tonnes,oil shale and oil sands - transformation input - electricity and heat generation - main activity producers - thousand tonnes,peat - change in stock - thousand tonnes,peat - closing stocks on national territory - thousand tonnes,peat - exports - thousand tonnes,peat - gross inland deliveries - calculated - thousand tonnes,peat - imports - thousand tonnes,peat - indigenous production - thousand tonnes,peat - opening stocks on national territory - thousand tonnes,peat - transformation input - electricity and heat generation - main activity producers - thousand tonnes
2020-10,-49.527,535.429,4.59,4013.977,12.824,4055.27,485.902,3754.988,77.3,329.358,586.824,162.652,171.678,13.366,6.768,667.836,406.658,1076.512,8754.032,392.094,30.0,267.462,1714.079,6426.273,6209.539,1281.848,1281.475,4432.73,9830.544,27.277,216.734,949.888,3278.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
2020-11,-27.462,562.891,4.591,3792.256,12.937,3811.372,535.429,3702.52,-21.981,351.339,556.117,146.125,151.384,13.612,7.61,715.87,329.358,260.531,8493.501,425.781,30.0,269.609,1104.109,5991.388,5723.924,1263.383,1247.713,4863.141,8754.032,30.114,267.464,854.307,3495.899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
2020-12,-49.547,612.438,3.292,3694.394,7.359,3739.874,562.891,3633.073,-49.895,401.234,517.94,170.417,176.527,20.897,6.815,723.465,351.339,95.717,8397.784,477.939,30.0,244.466,1014.456,5862.644,5607.877,1251.505,1234.788,4966.718,8493.501,26.643,254.767,1025.281,3323.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
2021-01,81.09,531.348,1.115,4564.013,3.192,4480.846,612.438,4488.095,19.327,381.907,603.851,180.074,187.868,11.568,5.321,760.824,401.234,9.117,8388.667,404.038,40.0,194.913,1110.508,5294.732,4985.003,1234.333,1220.779,4441.037,8397.784,14.283,309.729,993.055,2686.527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
2021-02,-17.262,548.61,0.837,3933.724,3.786,3948.037,531.348,3892.235,110.107,271.8,626.0,176.346,195.058,16.951,5.012,694.0,381.907,493.33,7895.337,498.546,30.0,190.909,1168.404,5425.712,5223.945,823.755,821.072,4593.373,8388.667,13.8,201.767,882.945,2981.687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
2021-03,-16.371,564.981,0.406,3947.884,6.152,3958.509,548.61,3676.357,59.598,212.202,591.872,172.774,235.592,11.073,3.253,756.793,271.8,407.508,7487.829,535.973,30.0,192.154,1275.463,6390.972,6045.752,1252.418,1242.169,5243.127,7895.337,23.892,345.22,1229.14,3348.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
2021-04,109.55,455.431,0.301,4337.027,9.337,4218.441,564.981,4555.755,-43.834,256.036,536.225,153.111,207.488,33.375,6.222,754.172,212.202,256.344,7231.485,588.68,30.0,226.433,1086.651,5482.062,5199.673,1204.455,1194.235,4587.554,7487.829,22.389,282.389,1067.707,2818.882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
2021-05,5.855,449.576,0.504,3940.055,16.31,3918.394,455.431,3921.064,6.261,249.775,588.504,170.042,226.02,20.598,15.695,787.665,256.036,20.795,7210.69,977.705,30.0,211.571,1088.654,4995.979,4729.978,1530.482,1516.218,4409.548,7231.485,12.859,266.001,867.9,2561.853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
2021-06,70.152,379.424,0.662,4338.336,18.049,4250.798,449.576,4314.476,19.437,230.338,540.265,169.038,217.799,18.989,13.81,719.638,249.775,221.553,6989.137,557.889,30.0,144.954,1226.718,5069.396,4826.779,943.082,933.967,4437.258,7210.69,25.392,242.617,974.315,2480.792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
2021-07,42.838,336.586,0.0,4550.381,8.111,4499.432,379.424,4531.923,-45.929,276.267,606.627,163.353,217.57,13.515,5.742,856.611,230.338,566.992,6422.146,483.68,30.0,189.455,1238.393,5509.537,5277.527,1034.363,1014.48,4364.883,6989.137,26.98,232.01,1135.29,2714.389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
